offerdate,sold_premium,offered_premium,purchase_price,purchase_date,item_age,pricing_point,predictedconversionrate,plan_flag,plan_count,plansactive_lastyear_count,planscancelled_lastyear_count,claims_count,claim_amount,price_diff,ismodel,sale_flag,base_rate,manufacturerbrandname_enc,itemcategoryname_enc,itemsupercategorycode_enc,invalid_price_flag,price_diff_check,price_diff_matches
2023-04-14,,69.36,200.0,2023-04-20,-6.0,@23%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.090566038,yes,0,63.6,57,37,4,False,5.669433961999998,False
2023-03-20,,43.44,361.02,2023-03-20,0.0,@22%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.090361446,yes,0,39.84,7,25,2,False,3.509638553999994,False
2023-03-28,69.72,69.72,339.0,2023-03-28,0.0,@23%,0.58,1,4.0,5.0,1.0,0.0,0.0,0.096226415,yes,1,63.6,57,37,4,False,6.023773584999997,False
2023-03-02,45.72,45.72,300.0,2022-12-23,69.0,@22%,0.24,0,0.0,0.0,0.0,0.0,0.0,0.295918367,yes,1,35.28,57,9,2,False,10.144081632999997,False
2023-03-27,,48.12,239.0,2023-03-25,2.0,@22%,0.12,0,0.0,0.0,0.0,0.0,0.0,-0.116740088,yes,0,54.48,7,37,4,False,-6.243259911999999,False
2023-04-20,,53.4,849.0,2023-04-14,6.0,@22%,0.51,1,5.0,21.0,11.0,3.0,102.11,0.08801956,yes,0,49.08,85,24,2,False,4.23198044,False
2023-02-28,,53.4,300.0,2022-12-01,89.0,@23%,0.08,0,0.0,0.0,0.0,0.0,0.0,0.297376093,yes,0,41.16,7,12,4,False,11.942623907000002,False
2023-03-24,,48.12,479.0,2023-03-24,0.0,@23%,0.12,0,0.0,0.0,0.0,0.0,0.0,0.066489362,yes,0,45.12,11,16,12,False,2.933510638,False
2023-04-24,,48.6,239.0,2023-04-22,2.0,@23%,0.04,0,0.0,0.0,0.0,0.0,0.0,0.219879518,yes,0,39.84,17,25,2,False,8.540120481999997,False
2023-03-03,30.6,30.6,300.0,2023-03-02,1.0,ASIS FEE,1.0,0,0.0,1.0,1.0,,,0.0,no,1,30.6,7,19,2,False,0.0,True
2023-04-14,,48.24,599.0,2023-04-14,0.0,@22%,0.12,0,0.0,0.0,0.0,0.0,0.0,0.210843373,yes,0,39.84,89,25,2,False,8.189156627,False
2023-03-17,,66.48,400.0,2023-03-08,9.0,ASIS FEE,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,no,0,66.48,17,37,4,False,0.0,True
2023-04-24,,69.72,699.0,2023-03-28,27.0,@23%,0.22,0,0.0,0.0,0.0,0.0,0.0,0.048736462,yes,0,66.48,129,37,4,False,3.191263537999995,False
2023-02-28,,69.48,599.0,2023-02-16,12.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.24516129,yes,0,55.8,74,37,4,False,13.434838710000006,False
2023-03-30,39.84,39.84,300.0,2023-01-16,73.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,1,39.84,12,25,2,False,0.0,True
2023-04-05,,82.68,366.43,2023-04-05,0.0,@22%,0.25,1,1.0,1.0,0.0,1.0,55.0,0.297551789,yes,0,63.72,7,37,4,False,18.662448211000008,False
2023-04-14,48.12,48.12,247.52,2023-04-14,0.0,@23%,0.29,1,1.0,2.0,1.0,0.0,0.0,0.16909621,yes,1,41.16,7,12,4,False,6.790903790000001,False
2023-03-27,,47.76,300.0,2023-02-19,36.0,@22%,0.19,0,0.0,0.0,0.0,0.0,0.0,0.067024129,yes,0,44.76,62,25,2,False,2.932975871,False
2023-03-14,,68.52,339.0,2023-01-12,61.0,@23%,0.34,1,1.0,1.0,0.0,0.0,0.0,0.077358491,yes,0,63.6,57,37,4,False,4.842641508999995,False
2023-04-19,,53.4,250.0,2023-04-19,0.0,@23%,0.06,0,0.0,0.0,0.0,0.0,0.0,0.115288221,yes,0,47.88,56,12,4,False,5.404711778999996,False
2023-03-25,,48.12,399.0,2023-03-11,14.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,-0.019559902,yes,0,49.08,7,12,4,False,-0.9404400980000008,False
2023-03-29,,27.84,134.0,2023-03-16,13.0,ASIS FEE,1.0,1,1.0,1.0,0.0,,,0.0,no,0,27.84,111,29,2,False,0.0,True
2023-03-01,,47.76,305.38,2023-02-28,1.0,@22%,0.11,0,0.0,0.0,0.0,0.0,0.0,-0.045563549,yes,0,50.04,57,12,4,False,-2.234436451000001,False
2023-03-22,,69.72,270.0,2023-03-22,0.0,@22%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.169014085,yes,0,59.64,62,37,4,False,9.910985914999998,False
2023-03-20,,82.56,350.0,2023-03-20,0.0,@23%,0.35,1,1.0,1.0,0.0,,,0.298113208,yes,0,63.6,57,37,4,False,18.661886792,False
2023-04-10,69.72,69.72,499.0,2023-03-27,14.0,@22%,0.34,1,1.0,1.0,0.0,2.0,178.14,0.048736462,yes,1,66.48,56,37,4,False,3.191263537999995,False
2023-04-12,43.8,43.8,369.99,2023-01-12,90.0,ASIS FEE,1.0,1,1.0,1.0,0.0,1.0,85.03,0.0,no,1,43.8,113,8,2,False,0.0,True
2023-04-16,60.84,60.84,280.03,2023-04-16,0.0,@23%,0.18,0,0.0,0.0,0.0,0.0,0.0,0.020120724,yes,1,59.64,62,37,4,False,1.1798792760000028,False
2023-04-20,,47.76,319.99,2023-04-10,10.0,@23%,0.09,0,0.0,0.0,0.0,0.0,0.0,0.039164491,yes,0,45.96,57,11,1,False,1.7608355089999972,False
2023-03-12,,21.36,339.0,2023-03-11,1.0,@23%,0.15,0,0.0,0.0,0.0,0.0,0.0,-0.194570136,yes,0,26.52,0,19,2,False,-4.965429864,False
2023-04-19,,46.56,1200.0,2022-09-07,224.0,@22%,0.25,0,0.0,0.0,0.0,0.0,0.0,0.297658863,yes,0,35.88,85,9,2,False,10.382341137,False
2023-03-06,,69.72,399.0,2023-03-01,5.0,@23%,0.16,0,0.0,0.0,0.0,,,0.048736462,yes,0,66.48,56,37,4,False,3.191263537999995,False
2023-03-02,,48.12,544.99,2022-06-01,274.0,@22%,0.25,0,0.0,0.0,0.0,0.0,0.0,0.148997135,yes,0,41.88,62,8,2,False,6.091002864999995,False
2023-03-08,,72.12,300.0,2023-02-06,30.0,@23%,0.13,0,0.0,0.0,0.0,0.0,0.0,0.234086242,yes,0,58.44,34,25,2,False,13.445913758000007,False
2023-04-10,,37.92,150.0,2022-12-01,130.0,@23%,0.23,0,0.0,0.0,0.0,0.0,0.0,0.074829932,yes,0,35.28,62,9,2,False,2.5651700680000005,False
2023-03-30,,48.24,459.0,2023-03-30,0.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.151862464,yes,0,41.88,57,8,2,False,6.208137536,False
2023-03-11,,48.24,331.45,2023-02-25,14.0,@22%,0.08,0,0.0,0.0,0.0,0.0,0.0,0.049608355,yes,0,45.96,57,11,1,False,2.230391645000001,False
2023-04-20,69.36,69.36,1200.0,2023-04-21,-1.0,@23%,0.59,1,3.0,3.0,0.0,3.0,263.42,0.024822695,yes,1,67.68,8,8,2,False,1.6551773049999927,False
2023-04-05,53.4,53.4,160.0,2022-07-05,274.0,@23%,0.25,0,0.0,3.0,3.0,1.0,174.99,0.297376093,yes,1,41.16,7,12,4,False,11.942623907000002,False
2023-04-13,,69.72,316.57,2023-04-13,0.0,@23%,0.2,0,0.0,0.0,0.0,,,0.096226415,yes,0,63.6,57,37,4,False,6.023773584999997,False
2023-03-31,48.12,48.12,586.0,2023-03-28,3.0,@23%,0.14,0,0.0,0.0,0.0,0.0,0.0,0.066489362,yes,1,45.12,129,16,12,False,2.933510638,False
2023-04-14,,34.92,350.0,2023-04-14,0.0,@22%,0.45,1,1.0,1.0,0.0,1.0,76.0,-0.033222591,yes,0,36.12,101,15,12,False,-1.1667774089999958,False
2023-04-19,,53.4,300.0,2022-08-19,243.0,@22%,0.23,0,0.0,0.0,0.0,0.0,0.0,0.183510638,yes,0,45.12,0,11,1,False,8.096489362000002,False
2023-03-09,,61.2,599.99,2023-03-08,1.0,ASIS FEE,1.0,1,1.0,1.0,0.0,1.0,70.0,0.0,no,0,61.2,0,37,4,False,0.0,True
2023-03-17,,60.96,275.0,2023-03-17,0.0,@23%,0.12,0,0.0,0.0,0.0,0.0,0.0,-0.043314501,yes,0,63.72,7,37,4,False,-2.7166854989999982,False
2023-03-29,,29.28,300.0,2023-03-15,14.0,@23%,0.19,0,0.0,0.0,0.0,0.0,0.0,0.051724138,yes,0,27.84,89,9,2,False,1.3882758620000013,False
2023-03-21,,47.76,300.0,2023-02-27,22.0,@22%,0.19,0,0.0,0.0,0.0,0.0,0.0,0.090410959,yes,0,43.8,21,16,12,False,3.8695890410000007,False
2023-03-06,,42.6,493.68,2022-06-04,275.0,ASIS FEE,1.0,0,0.0,0.0,0.0,,,0.0,no,0,42.6,89,11,1,False,0.0,True
2023-03-15,,48.12,300.0,2023-03-11,4.0,@23%,0.14,0,0.0,0.0,0.0,0.0,0.0,0.16909621,yes,0,41.16,129,24,2,False,6.790903790000001,False
2023-03-24,,110.52,867.86,2022-12-28,86.0,@23%,0.34,0,0.0,2.0,2.0,2.0,726.32,0.299012694,yes,0,85.08,107,36,4,False,25.140987305999996,False
2023-02-28,,47.76,719.0,2023-02-14,14.0,@23%,0.1,0,0.0,0.0,0.0,0.0,0.0,0.236024845,yes,0,38.64,12,24,2,False,8.883975154999998,False
2023-03-20,,43.32,1200.0,2023-03-20,0.0,@22%,0.15,0,0.0,0.0,0.0,0.0,0.0,0.087349398,yes,0,39.84,85,19,2,False,3.3926506019999967,False
2023-03-07,53.4,53.4,349.0,2023-02-08,27.0,@22%,0.25,0,0.0,1.0,1.0,3.0,292.53,0.161879896,yes,1,45.96,127,11,1,False,7.278120103999997,False
2023-03-11,,69.72,350.0,2023-03-11,0.0,@22%,0.19,0,0.0,0.0,0.0,0.0,0.0,0.096226415,yes,0,63.6,57,37,4,False,6.023773584999997,False
2023-03-26,,87.96,200.0,2023-03-05,21.0,@22%,0.22,0,0.0,0.0,0.0,,,0.29964539,yes,0,67.68,57,37,4,False,19.98035460999999,False
2023-04-12,,72.24,309.0,2023-04-12,0.0,@22%,0.15,0,0.0,0.0,0.0,0.0,0.0,0.135849057,yes,0,63.6,57,37,4,False,8.504150942999994,False
2023-03-13,,48.24,640.0,2023-03-08,5.0,@23%,0.14,0,0.0,0.0,0.0,0.0,0.0,0.151862464,yes,0,41.88,57,8,2,False,6.208137536,False
2023-03-03,,34.68,239.99,2023-02-28,3.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,0,34.68,86,32,13,False,0.0,True
2023-03-21,,42.6,459.0,2023-03-01,20.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,0,42.6,12,11,1,False,0.0,True
2023-04-19,,48.12,410.65,2023-04-15,4.0,@22%,0.09,0,0.0,0.0,0.0,0.0,0.0,0.066489362,yes,0,45.12,50,16,12,False,2.933510638,False
2023-03-02,,48.12,545.0,2023-02-15,15.0,@22%,0.29,0,0.0,1.0,1.0,0.0,0.0,0.095628415,yes,0,43.92,129,14,12,False,4.1043715849999955,False
2023-04-07,,72.24,650.0,2023-03-07,31.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.142314991,yes,0,63.24,87,8,2,False,8.857685008999994,False
2023-03-25,,48.12,400.0,2023-03-17,8.0,@23%,0.13,0,0.0,0.0,0.0,0.0,0.0,-0.012315271,yes,0,48.72,57,12,4,False,-0.5876847290000015,False
2023-03-06,43.8,43.8,337.0,2023-03-06,0.0,ASIS FEE,1.0,1,1.0,1.0,0.0,,,0.0,no,1,43.8,1,8,2,False,0.0,True
2023-03-06,32.52,32.52,979.79,2023-03-06,0.0,@22%,0.12,0,0.0,0.0,0.0,0.0,0.0,-0.122977346,yes,1,37.08,0,25,2,False,-4.437022653999995,False
2023-03-15,56.16,56.16,315.0,2023-03-15,0.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,1,56.16,16,8,2,False,0.0,True
2023-04-20,,69.72,314.95,2023-04-17,3.0,@22%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.096226415,yes,0,63.6,57,37,4,False,6.023773584999997,False
2023-03-28,,69.48,300.0,2023-03-28,0.0,@22%,0.36,1,1.0,1.0,0.0,,,0.16498994,yes,0,59.64,62,37,4,False,9.675010060000004,False
2023-03-25,,47.76,309.0,2023-03-25,0.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.198795181,yes,0,39.84,7,11,1,False,7.721204818999994,False
2023-03-07,48.72,48.72,305.38,2021-11-11,481.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,1,48.72,57,12,4,False,0.0,True
2023-04-07,34.92,34.92,279.0,2023-02-10,56.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,-0.026755853,yes,1,35.88,7,25,2,False,-0.9332441470000008,False
2023-03-13,,69.72,280.0,2023-03-11,2.0,@22%,0.14,0,0.0,0.0,0.0,0.0,0.0,0.19301848,yes,0,58.44,56,37,4,False,11.086981520000002,False
2023-03-22,,69.48,1200.0,2023-03-15,7.0,@22%,0.11,0,0.0,0.0,0.0,0.0,0.0,-0.030150754,yes,0,71.64,74,16,12,False,-2.1298492459999965,False
2023-04-06,,72.12,399.0,2023-04-05,1.0,@22%,0.1,0,0.0,0.0,0.0,0.0,0.0,0.131826742,yes,0,63.72,7,37,4,False,8.268173258000006,False
2023-03-16,,72.12,305.37,2023-03-11,5.0,@22%,0.12,0,0.0,0.0,0.0,0.0,0.0,0.084837545,yes,0,66.48,56,37,4,False,5.5551624550000005,False
2023-03-08,,69.72,289.99,2023-03-08,0.0,@23%,0.1,0,0.0,0.0,0.0,0.0,0.0,0.094161959,yes,0,63.72,7,37,4,False,5.905838041,False
2023-03-09,,45.72,200.0,2023-03-08,1.0,@23%,0.49,1,2.0,2.0,0.0,1.0,103.85,0.295918367,yes,0,35.28,57,19,2,False,10.144081632999997,False
2023-03-31,,45.72,200.0,2022-04-03,362.0,@22%,0.83,1,5.0,13.0,0.0,5.0,418.47,0.295918367,yes,0,35.28,57,19,2,False,10.144081632999997,False
2023-03-08,,69.72,350.0,2023-02-08,28.0,@22%,0.23,0,0.0,0.0,0.0,0.0,0.0,0.096226415,yes,0,63.6,57,37,4,False,6.023773584999997,False
2023-02-28,,53.4,300.0,2023-02-15,13.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.253521127,yes,0,42.6,7,16,12,False,10.546478872999996,False
2023-03-16,69.72,69.72,323.94,2023-03-15,1.0,@23%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.048736462,yes,1,66.48,17,37,4,False,3.191263537999995,False
2023-03-10,,53.4,305.38,2022-12-12,88.0,@22%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.096059113,yes,0,48.72,57,12,4,False,4.583940887,False
2023-03-31,,69.72,833.0,2023-03-30,1.0,@22%,0.07,0,0.0,0.0,0.0,0.0,0.0,0.188139059,yes,0,58.68,125,18,5,False,10.851860941,False
2023-04-06,,69.72,319.0,2023-03-14,23.0,@23%,0.17,0,0.0,0.0,0.0,,,0.096226415,yes,0,63.6,57,37,4,False,6.023773584999997,False
2023-04-15,,37.68,429.0,2023-04-14,1.0,@22%,0.09,0,0.0,0.0,0.0,0.0,0.0,-0.054216867,yes,0,39.84,7,14,12,False,-2.1057831330000036,False
2023-03-27,,26.88,300.0,2023-01-24,62.0,@23%,0.21,0,0.0,0.0,0.0,0.0,0.0,0.013574661,yes,0,26.52,0,19,2,False,0.34642533899999944,False
2023-03-21,,34.92,266.0,2023-03-21,0.0,@23%,0.12,0,0.0,0.0,0.0,0.0,0.0,0.006920415,yes,0,34.68,7,14,12,False,0.23307958500000198,False
2023-03-25,48.12,48.12,300.0,2023-02-18,35.0,@23%,0.41,1,1.0,2.0,1.0,,,0.297734628,yes,1,37.08,129,19,2,False,10.742265371999999,False
2023-04-03,,72.24,800.0,2023-03-23,11.0,@22%,0.13,0,0.0,0.0,0.0,0.0,0.0,0.231083845,yes,0,58.68,30,18,5,False,13.328916154999995,False
2023-04-06,,53.4,286.0,2023-04-06,0.0,@22%,0.11,0,0.0,0.0,0.0,0.0,0.0,0.115288221,yes,0,47.88,56,12,4,False,5.404711778999996,False
2023-03-20,,72.0,299.0,2023-03-16,4.0,@23%,0.04,0,0.0,0.0,0.0,,,0.298701299,yes,0,55.44,98,34,3,False,16.261298701,False
2023-03-14,,32.64,100.0,2023-03-14,0.0,@22%,0.21,0,0.0,0.0,0.0,0.0,0.0,-0.025089606,yes,0,33.48,93,29,2,False,-0.8149103939999963,False
2023-03-08,,47.76,200.0,2023-03-09,-1.0,@22%,0.11,0,0.0,0.0,0.0,0.0,0.0,-0.045563549,yes,0,50.04,62,12,4,False,-2.234436451000001,False
2023-03-23,,35.52,800.0,2023-03-01,22.0,@22%,0.12,0,0.0,0.0,0.0,0.0,0.0,0.112781955,yes,0,31.92,12,19,2,False,3.4872180450000014,False
2023-04-11,,19.92,300.0,2023-04-03,8.0,@23%,0.14,0,0.0,0.0,0.0,0.0,0.0,-0.248868778,yes,0,26.52,129,19,2,False,-6.351131221999998,False
2023-03-28,,48.12,244.34,2023-03-28,0.0,@22%,0.06,0,0.0,0.0,0.0,0.0,0.0,0.16909621,yes,0,41.16,7,12,4,False,6.790903790000001,False
2023-03-27,,66.48,400.0,2023-03-27,0.0,ASIS FEE,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,no,0,66.48,56,37,4,False,0.0,True
2023-03-11,,69.72,300.0,2023-03-11,0.0,@23%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.169014085,yes,0,59.64,57,37,4,False,9.910985914999998,False
2023-03-22,,44.28,372.38,2023-03-21,1.0,@23%,0.15,0,0.0,0.0,0.0,0.0,0.0,-0.165158371,yes,0,53.04,11,37,4,False,-8.594841628999998,False
2023-03-22,,53.4,350.0,2022-11-20,122.0,@22%,0.32,0,0.0,1.0,1.0,1.0,60.0,0.219178082,yes,0,43.8,19,25,2,False,9.380821918000002,False
2023-03-13,32.52,32.52,339.99,2023-03-10,3.0,@23%,0.2,0,0.0,0.0,0.0,0.0,0.0,-0.062283737,yes,1,34.68,34,9,2,False,-2.0977162629999966,False
2023-03-17,,48.12,300.0,2023-02-20,25.0,@23%,0.08,0,0.0,0.0,0.0,0.0,0.0,0.245341615,yes,0,38.64,12,24,2,False,9.234658384999998,False
2023-03-08,,34.92,280.0,2023-03-08,0.0,@22%,0.12,0,0.0,0.0,0.0,0.0,0.0,0.006920415,yes,0,34.68,7,14,12,False,0.23307958500000198,False
2023-03-03,47.64,47.64,300.0,2023-02-16,15.0,@23%,0.61,1,5.0,8.0,3.0,0.0,0.0,0.064343164,yes,1,44.76,62,25,2,False,2.8156568360000027,False
2023-03-27,,47.76,324.07,2023-03-27,0.0,@22%,0.11,0,0.0,0.0,0.0,,,-0.054631829,yes,0,50.52,56,16,12,False,-2.7053681710000053,False
2023-04-02,,32.4,679.99,2023-03-31,2.0,@23%,0.2,0,0.0,0.0,0.0,0.0,0.0,-0.065743945,yes,0,34.68,34,9,2,False,-2.2142560550000012,False
2023-04-08,,32.4,654.0,2022-12-17,112.0,@22%,0.24,0,0.0,0.0,0.0,0.0,0.0,-0.065743945,yes,0,34.68,111,9,2,False,-2.2142560550000012,False
2023-04-19,,48.12,300.0,2023-03-19,31.0,@22%,0.23,0,0.0,0.0,0.0,0.0,0.0,0.083783784,yes,0,44.4,16,16,12,False,3.636216215999999,False
2023-03-31,,56.64,300.0,2023-03-31,0.0,@23%,0.25,0,0.0,0.0,0.0,0.0,0.0,-0.197278912,yes,0,70.56,16,37,4,False,-13.722721088000002,False
2023-03-10,,51.72,360.0,2023-03-09,1.0,@23%,0.07,0,0.0,0.0,0.0,0.0,0.0,0.298192771,yes,0,39.84,7,14,12,False,11.581807228999995,False
2023-03-14,,69.72,450.0,2023-03-14,0.0,@23%,0.21,0,0.0,0.0,0.0,0.0,0.0,0.030141844,yes,0,67.68,57,37,4,False,2.009858155999992,False
2023-04-06,,56.52,239.0,2023-04-02,4.0,@23%,0.18,0,0.0,0.0,0.0,0.0,0.0,-0.052313883,yes,0,59.64,62,37,4,False,-3.0676861169999974,False
2023-04-05,,49.68,549.0,2022-12-15,111.0,@22%,0.15,0,0.0,0.0,0.0,0.0,0.0,0.069767442,yes,0,46.44,74,16,12,False,3.170232558000002,False
2023-03-02,,69.72,333.21,2023-01-25,36.0,@23%,0.25,0,0.0,0.0,0.0,0.0,0.0,0.096226415,yes,0,63.6,57,37,4,False,6.023773584999997,False
2023-03-04,45.0,45.0,400.0,2023-02-19,13.0,@22%,0.25,1,1.0,3.0,2.0,1.0,140.0,0.297577855,yes,1,34.68,86,32,13,False,10.022422145,False
2023-03-13,72.12,72.12,300.0,2023-03-02,11.0,@22%,0.15,0,0.0,0.0,0.0,0.0,0.0,0.178431373,yes,1,61.2,129,37,4,False,10.741568627000001,False
2023-03-23,53.4,53.4,329.0,2023-03-22,1.0,@22%,0.08,0,0.0,0.0,0.0,0.0,0.0,0.115288221,yes,1,47.88,56,12,4,False,5.404711778999996,False
2023-03-22,,48.12,285.0,2023-03-22,0.0,@23%,0.12,0,0.0,0.0,0.0,0.0,0.0,-0.012315271,yes,0,48.72,62,12,4,False,-0.5876847290000015,False
2023-03-23,,45.0,145.0,2023-03-02,21.0,@22%,0.13,0,0.0,0.0,0.0,,,0.297577855,yes,0,34.68,86,32,13,False,10.022422145,False
2023-03-20,,53.04,320.0,2023-03-20,0.0,@23%,0.26,1,1.0,1.0,0.0,0.0,0.0,-0.075313808,yes,0,57.36,16,11,1,False,-4.2446861920000005,False
2023-03-13,,53.4,549.0,2023-02-27,14.0,@22%,0.17,0,0.0,0.0,0.0,0.0,0.0,0.183510638,yes,0,45.12,129,25,2,False,8.096489362000002,False
2023-03-06,,53.4,260.0,2023-03-05,1.0,@22%,0.07,0,0.0,0.0,0.0,0.0,0.0,0.215846995,yes,0,43.92,7,16,12,False,9.264153004999997,False
2023-03-01,,43.8,180.0,2023-03-01,0.0,@23%,0.2,0,0.0,0.0,0.0,0.0,0.0,-0.203056769,yes,0,54.96,16,37,4,False,-10.956943231000004,False
2023-03-29,34.92,34.92,1200.0,2023-03-24,5.0,@23%,0.16,0,0.0,0.0,0.0,0.0,0.0,0.006920415,yes,1,34.68,0,24,2,False,0.23307958500000198,False
2023-03-12,,32.16,199.0,2023-03-02,10.0,@22%,0.13,0,0.0,0.0,0.0,0.0,0.0,-0.132686084,yes,0,37.08,74,4,0,False,-4.787313916000001,False
2023-03-21,,34.44,300.0,2023-02-28,21.0,@22%,0.16,0,0.0,0.0,0.0,0.0,0.0,0.298642534,yes,0,26.52,0,19,2,False,7.621357465999998,False
2023-04-11,,48.12,400.0,2023-04-02,9.0,@23%,0.11,0,0.0,0.0,0.0,0.0,0.0,-0.019559902,yes,0,49.08,7,16,12,False,-0.9404400980000008,False
